name,description,ingredients,calories,total fat (PDV),sugar (PDV),sodium (PDV),protein (PDV),saturated fat (PDV),carbohydrates (PDV)
100   whole wheat bread,"abbey of our lady of the holy trinity. for years the monks made and sold their special brand of whole wheat bread. in recent years it became necessary to discontinue this industry. however, the monk who for many years was the baker has developed a recipe for home owners to bake their own whole wheat bread from the 2-grain cereal now produced at the monastery","['milk', 'light brown sugar', 'salt', 'butter', 'warm water', 'active dry yeast', 'whole wheat flour', 'white flour']",227.2,9,11,16,14,16,12
100 calorie cinnamon pancakes,"this recipe was listed as the featured recipe in an email today from the www.sparkrecipes.com website.  ""submitted by amroz123 - i am known for my pancakes, so trust me on this one!
30 minutes to prepare and cook - serving size is one pancake. if you use less than 1/3 of a cup batter (like 1/4, or 1/6) you can have two for 100 calories! smaller, but more! :-)""","['whole wheat flour', 'baking soda', 'splenda granular', 'skim milk', 'egg beaters egg substitute', 'vanilla extract', 'cinnamon']",85.3,0,1,7,7,0,5
100 year old pancakes,"this recipe was found along my gg nelson's belongings.  i'm posting this only because when i did a search for pancake recipes, i couldn't find anything that looked or seemed quite like this one.  for variations, you can add 1 tbls. honey or 1 tbls. cinnamon and sugar mix or 1 tbls. cocoa powder and a handfull of chocolate chips.  cooking time is for individual pancakes, not a collective cook time.","['egg whites', 'egg yolks', 'butter', 'buttermilk', 'flour', 'sugar', 'salt', 'baking powder', 'baking soda']",117.4,6,12,13,8,11,5
100  parmesan chicken,"i don't remember where i got this recipe several years ago, but it is a delicious cheesy tasty main dish!","['boneless skinless chicken breasts', 'butter', 'parmesan cheese', 'dry breadcrumbs', 'dried oregano', 'parsley flakes', 'paprika', 'salt', 'pepper']",218.6,12,1,15,62,21,1
100  semolina bread,this is a basic semolina bread which is ideal for vegetarian/vegan diets.  recipe is for a 2 lb loaf in a bread machine.,"['active dry yeast', 'warm water', 'sugar', 'semolina', 'extra virgin olive oil', 'salt']",277.7,5,10,17,17,2,17
100  whole grain bread with biga soaker,"this is my take on reinhart's master recipe in whole grain breads.  i make 4 loaves of this a week, currently.","['whole wheat flour', 'water', 'instant yeast', 'table salt', 'oil', 'honey']",93.5,2,9,6,6,1,6
100  whole grain pizza dough,adapted from veggie life. this is wonderful - and healthy!,"['honey', 'active dry yeast', 'warm water', 'salt', 'whole wheat flour', 'buckwheat flour', 'soy flour', 'gluten']",74.9,1,6,12,6,0,4
100  whole grain wheat bread,if you like fluffy brown bread this is it. no white flour here. you can use any 100% whole grain wheat flour. i mill my own. this bread is not heavy like most 100% whole wheat breads. if it is you used too much flour and your dough was too stiff. if it flattens out and won't stand up you need more flour. the total amount of flour is usually about 6 1/2 to 7 cups. this recipe has been in my family for years and we all make it. we make a lot more now that we have powerful mixers and the hand kneading is bye bye.,"['hot water', 'olive oil', 'honey', 'molasses', 'salt', 'whole grain wheat flour', 'dry active yeast']",176.4,6,19,12,10,2,10
100  whole wheat bread for bread machine,"i based this recipe on one for ""honey whole wheat bread"" i found on the back of a bag of hodgson mill flour. i could never keep that one from falling in my bread machine, so i came up with this. there is literally no preparation involved, just throw all the ingredients into the container. it is the only completely whole wheat bread recipe i've used that turns out well for me, every time.","['egg', 'water', 'sugar', 'vegetable oil', 'whole wheat flour', 'white whole wheat flour', 'wheat germ', 'oat bran', 'vital wheat gluten', 'salt', 'yeast']",125.2,5,13,10,8,2,6
100  whole wheat bread  plain and simple  no knead,"this is the 100 percent whole wheat bread from the cookbook ""healthy bread in five minutes a day"" by jeff hertzberg and zoe francois. it makes enough for four 1-pound loaves. if you are familiar with the book, you know that the principle is to make a big batch of dough, then grab off pieces each day (or so) to bake hot and fresh. they also say whole grain spelt can be substituted. in addition, they offer more recipes, photos, videos, etc. at www.healthybreadinfive.com. i would just like to mention that the cookbook is great for the wealth of background information and a huge variety of recipes. it's great to read, so even if you find the recipes you like online, if  you have even a little interest in bread making, you will enjoy the book immensely!","['whole wheat flour', 'yeast', 'kosher salt', 'vital wheat gluten', 'warm water']",121.4,1,0,12,9,0,8
100  whole wheat graham crackers or pie crust,"i couldn't find the perfect 100% whole wheat graham recipe so i made one.  these are highly popular with kids and come together very quickly.  you can replace a little of the flour with milled flax, wheat germ, oat bran, or whatever you like.  and you can make chocolate grahams by adding 1/3 cup cocoa.  crunch them up to make graham crumbs, which are useful for a lot of things.  also, this recipe makes an amazing pie crust.  please note:  the instructions below are specific about rolling these out very thin, and baking until crisp.  if you end up with anything but crisp crackers, they weren't rolled thin enough, and/or they weren't baked long enough.","['whole wheat flour', 'turbinado sugar', 'baking powder', 'baking soda', 'salt', 'cinnamon', 'honey', 'water', 'vanilla', 'butter']",33.4,2,4,2,1,4,1
100  whole wheat low fat pancakes,"i created these one day for my kiddies when i couldn't find a recipe that fit my bill. they turned out great! note: if you like fluffy pancakes stir wet ingredients into dry with a wooden spoon leaving some lumps (more lumps=bigger cakes), alternately if you like thin pancakes, like me, use your blender to mix all the ingredients at once and blend until smooth update: sept '07: for those who don't like really thick pancakes try reducing flour by 1/2cup and replacing it with milk, this will give a runnier batter and should give a thinner pancake :)thanks for the comments everyone!!! (good and bad, we all learn from critisism too ;) )","['whole wheat flour', 'low-fat milk', 'baking soda', 'baking powder', 'sugar', 'vanilla', 'egg', 'canola oil', 'fruit']",107.5,3,13,6,9,2,5
100  whole wheat muffins,"very nice muffins with a high health factor. i haven't had these stick around long enough to worry about freezing any. for their portraits i dressed them up with walnut halves on top. pretty much any firm fruit (raisins, cranberries, cherries, dried apricots, etc) or chopped nuts can be added as desired.","['whole wheat flour', 'peanut butter', 'salt', 'baking powder', 'eggs', 'milk', 'brown sugar', 'butter']",186.8,14,17,11,14,15,7
100  whole wheat pizza dough and pizza tips,a less hydrated version of peter reinhart's 100% whole grain pizza dough as presented in "artisan breads every day".  suprisingly good dough for a whole wheat pizza.,"['whole wheat flour', 'honey', 'salt', 'instant yeast', 'water', 'olive oil']",182.8,5,9,13,11,2,11
100  whole wheat rolls,this recipe turns out great homemade rolls for those who love 100% whole wheat bread.  they rose beautifully and plump in the oven. makes 20-25 rolls depending on how big you make them. i made 2 inch dough balls and they rose to 3 inches after baked. to make more rolls just make the dough balls smaller.,"['yeast', 'water', 'honey', 'olive oil', 'eggs', 'salt', 'whole wheat flour']",190.7,11,11,8,10,5,9
100  whole wheat sour cream biscuits,"tender, flaky sour cream biscuits like mama never made!","['whole wheat flour', 'gluten', 'baking powder', 'baking soda', 'kosher salt', 'butter', 'milk', 'sour cream']",155,12,0,11,8,23,6
12 grain bread  bread machine,"using 12 grain flour from bulk barn and a recipe that is a variation of the one they provide. (bulk barn is a canadian food retailer specializing in bulk foods.) the list of grains, in the order on the label, is hard whole wheat flour, whole spelt flour, kamul flour, granola oats, ground brown flax seeds, quinoa seed, amaranth seed, barley flour, whole rye flour, dark buckwheat flour, hulled sunflower seeds and millet seeds. if you have a 1陆 lb loaf bread machine, reduce the yield below from 2.0 lbs to 1.5 lbs to get the right quantities for your machine. i use a black & decker bread machine with a 1陆 lb loaf pan. if you want a ""lighter"" bread, reduce the 12-grain flour by 陆 cup and increase the white flour by 陆 cup. if you want a ""sweeter"" tasting bread, replace the brown sugar with honey. (note: i had to use whole wheat flour in the ingredients to get approximate nutrition values. note to those who live in the u.s.a.: replace the white flour with bread flour.)","['water', 'oil', 'brown sugar', 'salt', 'white flour', 'whole wheat flour', 'bread machine yeast']",123.3,2,4,12,7,1,7
123 baked kibbee,"i love to make a big tray of these and keep them in the freezer for quick dinners, or pull them out and take them to work for lunch, they microwave great. i had hesitations about the cinnamon in this recipe, but it's fantastic, i absolutely love the flavor!  this recipe makes 18 pieces, i normally eat 2 per meal.","['lean ground beef', 'bulgar wheat', 'onion', 'salt', 'cinnamon', 'plain yogurt']",202,15,3,18,41,20,1
123 chicken,easy chicken with carrots and potatoes.  anyone can do this recipe and it is healthy.,"['boneless skinless chicken breasts', 'potatoes', 'carrots', 'italian dressing']",224.3,2,8,4,59,2,7
13 bean crock pot soup,"a crock pot version of 13 bean soup.  super easy & super yummy!  i buy the 13 bean soup mix in the bulk section of my supermarket.  it contains the 13 varieties of dry beans as follows:  baby limas, large limas, garbanzo, great northern, black-eyed peas, navy, black, red pinto, red lentils, green lentils, yellow splits, green splits,  and kidney beans.  even my toddler had fun eating this soup.  it was almost like watching a kid sort their m&m candies into colors!  we took the opportunity to teach her the name of each bean as she picked it out to eat.  be sure to plan ahead, as the beans need to soak overnight or for 8 hours before cooking.  (cook time noted includes soaking time.)  *update december 2011:  since hosting the january 2011 soupfest tag game in the topic of the month forum i have been using sharon123's recipe for homemade herb & garlic broth (link in ingredients section) instead of just plain water as the soup base.  it's absolutely delicious and so easy to make and store in the freezer.  feel free to use that recipe or any other broth for some or all of the water in the soup (not for soaking the beans).","['soup mix', 'water', 'ham', 'leeks', 'garlic cloves', 'carrots', 'celery', 'basil', 'thyme', 'worcestershire sauce', 'salt', 'pepper']",69.1,2,11,35,12,2,2
15 bean soup,yummy 15 bean soup.  i cook this a lot. i like to serve it with fried chicken and cornbread.,"['15 bean soup mix', 'onion', 'garlic cloves', 'whole tomatoes', 'celery leaves', 'ham hocks', 'dried parsley', 'dried rosemary', 'black pepper', 'salt', 'olive oil', 'chicken bouillon cubes']",45.4,4,8,8,1,2,1
15 minute black bean chili,"this is very similar to the one i used to make as a vegetarian, but i had a small amount of meat to use up, so i tried this. again it's also good as a burrito filling and topped with whatever you normally like on your chili. i use reduced fat cheddar cheese or maybe sour cream.","['ground beef', 'tomatoes and green chilies', 'black beans', 'frozen corn kernels', 'taco seasoning']",285.1,11,0,19,38,13,12
15 minute chicken fajitas,"i use a fajita seasoning mix i buy at super walmart called fiesta fajita seasoning mix. basically it is salt free and made with herbs & spices. pepper is a main ingredient, and not too much cumin. this mix is not one of the packaged things. i hope you can find it, or something similar because it makes fajita making fast and simple","['chicken breast tenders', 'olive oil', 'fajita seasoning mix', 'pepper', 'onion', 'lime', 'cheese', 'tortilla', 'pico de gallo', 'sour cream']",233.7,8,4,3,58,5,6
15 minute florentine pasta salad,"fresh, fast, fantastic! create a yummy pasta salad in no time with a little help from packaged fresh pasta and pesto sauce. recipe is great as is or make it your own by adding grilled shrimp or chicken, fresh mushrooms, green peas, carrots, sun-dried tomatoes, etc. found this recipe in bhg, may 1990. enjoy!","['fresh linguine', 'pesto sauce', 'lemon juice', 'fresh spinach', 'tomatoes', 'red onion', 'pine nuts', 'parmesan cheese']",133.3,5,6,0,9,1,7
15 minute garlic lemon chicken,so quick and so good.,"['boneless skinless chicken breast halves', 'flour', 'salt and pepper', 'oil', 'chicken broth', 'garlic', 'lemon juice', 'butter']",178.8,9,0,9,52,8,0
15 minute tiger prawns with chinese greens,super quick & super tasty. another great recipe for when you've just come back from work and want to eat real food - fast!,"['tiger shrimp', 'baby spinach', 'pak choi', 'thai fish sauce', 'dark soy sauce', 'sweet chili sauce', 'sunflower oil', 'cornflour', 'water', 'lime, juice and zest of']",125.5,7,2,50,32,3,1
15 minute chili   easy  hearty and good,"i made up this recipe myself, so hopefully it isn't a repeat.  my husband loves this recipe, so i hope you do too!  i can do it in under 15 minutes now which is great for those ""i don't want to cook"" nights.  try with my northern cornbread!http://www.recipezaar.com/260739","['lean ground beef', 'onion', 'chili beans', 'diced tomatoes', 'sliced mushrooms', 'chili powder', 'cumin', 'oregano', 'salt', 'cayenne pepper', 'sour cream']",266.8,13,13,9,46,17,8
15 minute marinated chicken,"adapted from my favorite magazine's website, taste of home. low fat chicken recipe that will be a nice addition to summer cookouts and picnics.","['dijon mustard', 'fresh lemon juice', 'worcestershire sauce', 'dried tarragon', 'pepper', 'boneless skinless chicken breast halves']",144.4,3,3,11,55,2,0
15 minute microwaved rice,very easy and fast!  great when you don't have time to keep checking your rice!!! from ricardo's magazine.,"['basmati rice', 'chicken broth', 'salt and pepper']",187.9,3,2,14,11,2,12
15 minute shrimp,an easy and fast shrimp recipe that i found in the newspaper.,"['large shrimp', 'old bay seasoning', 'tomatoes', 'olive oil', 'garlic cloves', 'dried oregano', 'pepper', 'feta cheese', 'parsley']",223.8,17,6,12,50,16,1
16 bean soup  crockpot,"this is a great recipe to start in the morning and have ready when you come home.  i love the packages with 16 kinds of beans...they make the best bean soup.  they don't come with a prepackaged mix or anything like it sounds--the 16 bean soup mix is just a package of 16 kinds of beans.  i didn't have turkey italian sausage so i used regular spicy italian sausage, and i added a couple potatoes just because i love them.  recipe is posted as written.  serving size is estimated.  recipe courtesy of www.lovetoknow.com","['beans', 'bay leaves', 'oregano', 'chicken stock', 'water', 'celery', 'carrots', 'onion', 'garlic cloves', 'italian sausage', 'tomatoes']",179.3,17,17,23,19,19,3
17 day diet   turkey eggplant parmesan,"eggplant parmesan, an italian standby, is one of my favorite dishes. we developed this quick version so that i could have it more often. it鈥檚 super low in carbs and fat, and you won鈥檛 even miss the breading. - dr. mike moreno","['nonstick cooking spray', 'eggplant', 'lean ground turkey', 'low-carb marinara sauce', 'oregano leaves', 'basil', 'fennel seed', 'fat-free parmesan cheese']",206.2,14,12,2,47,11,2
1890 san antonio enchilada sauce,"this recipe is from cook 'em horns published by the university of texas ex-students' association.  it is the only enchilada sauce recipe i use, period.  homemade is always best. i have used a blender, but i don't blend all the tomatoes.  i have also used a potato masher for the tomatoes for a thicker sauce.  cooking and prep time to not include preparing the enchiladas.  serve on beef, chicken, vegetarian...just about any kind of enchilada.","['bacon grease', 'onion', 'garlic cloves', 'whole tomatoes', 'water', 'salt', 'pepper', 'ancho chili', 'chili powder', 'sugar']",60.4,5,14,17,2,6,2
1898 potato dumplings,"from ""the galt cookbook"", published in 1898. i have adapted it slightly, by adding quantities and instructions. to my complete surprise these remind me a little of ""lo bak go"", (dim sum popular at chinese new years.) the good ladies of galt are no doubt rolling in their graves, but i serve these with a good whack of chile-garlic sauce 'cause that's how i like my lo bak go too. these are not the sort of thing to make from scratch, but from the leftovers of a ham-and-potato meal. they are easiest to mix if the potatoes are still warm, so set them on to poach as you clean up after dinner. then, they can be fried up when you want them. keep cakes wrapped in the fridge until ready to fry. they will keep for a couple days, so you don't have to fry all of them at once. i should also note that i use an unsalted smoked ham, so you may wish to reduce or eliminate the salt if your ham is salted.","['mashed potatoes', 'cooked ham', 'egg', 'flour', 'salt', 'baking powder', 'ham fat']",177.8,6,5,18,16,7,8
2 ingredient cookies,"found this recipe online and tried it out. turned out yummy. probably the best recipe to start kids off baking cookies!  the add-ins are endless. choc chips,nuts,spices,fruit etc. when i made the second batch of these, i added vanilla extract and choc chips, turned out great. no secret to these... when you get a nice cookie dough consistency...it's time to bake. the smaller you make them, the less time they will take...and will determine how much you get out of a batch.","['bananas', 'quick oats']",86.2,1,19,0,4,0,6
2 minute scallops,a very fast tasty scallop recipe,"['scallops', 'white wine', 'olive oil', 'marmalade']",104.3,5,12,14,21,2,2
2 point banana muffins,adapted from "banana muffins with tart lemon icing" makes 18 full size muffins,"['splenda granular', 'unsalted butter', 'egg', 'vanilla extract', 'all-purpose flour', 'baking powder', 'baking soda', 'skim milk', 'bananas']",112.2,5,15,4,4,10,5
2 vegetarian dips  served w crudites   baguette bread,"on our 2nd wedding anniversary 2 yrs ago, dh took me to a restaurant 1 hr outside of reykjavik that specialized in lobster & a lovely view of the sunset over the atlantic ocean. we ate just 2 things - their lobster bisque & a pan filled w/sml lobster tails steamed in herbed garlic butter. but they served both w/assorted pesto & tapenade spreads to spread on baguette slices that were tdf wonderful. since then i have been fascinated w/that genre & then i found these recipes in the *almost vegetarian* cookbook of the australian womens weekly cookbook series. since i now have lobster in my freezer, i wanted to preserve these recipes for spec occasions here at home. *enjoy* !","['sun-dried tomato', 'olive oil', 'capers', 'garlic cloves', 'lemon rind', 'lemon juice', 'fresh thyme', 'sunflower seeds', 'tofu', 'wheat germ', 'carrot', 'fresh dill']",78.4,10,5,4,4,4,1
2  step pasta sensation,quick and easy.,"['cooked pasta', 'parmesan cheese', 'ranch dressing']",295.9,17,2,13,17,16,13
2 minute noodle corn pancakes,"most kids love 2-minute noodles and corn fritters so in this recipe, adapted from a recipe on the simply great recipes website, the two have been combined to make yummy kid-friendly pancakes. if you want to sneak in some different vegetables, you could probably get away with this the second or third time you make these!  for an adult version, perhaps add bacon, garlic, and serve with sour cream and lemon wedges.","['maggi 2-minute noodles', 'eggs', 'plain flour', 'baking powder', 'corn kernels', 'chives', 'fresh parsley', 'milk', 'oil']",40.5,1,0,0,3,1,2
2 minute zingy minty cucumber slices,"after enjoying recipe #230631 the other day, i decided to jazz up some cucumbers instead of making the sandwiches by using the same spices i used. feel free to use chopped fresh mint leaves, i prefer the taste and texture of dried mint.","['cucumber', 'dried mint', 'kosher salt', 'ground black pepper']",25.3,0,10,18,2,0,2
2 point play,courtesy dekuyper.,"['sour apple schnapps', 'absolut vodka']",65.5,0,0,0,0,0,0
2   baby potatoes with rosemary,this is the starch for the easter dinner from good housekeeping. receipe #1 was roast leg of lamb with figs and wine,"['small potatoes', 'olive oil', 'fresh rosemary', 'salt', 'fresh coarse ground black pepper', 'rosemary sprig']",207.3,8,10,15,7,4,11
20 minute chicken nuggets,these can be prepared very very quickly for a quick lunch or dinner....,"['chicken breast', 'flour', 'salt', 'water', 'vinegar', 'baking soda', 'oil']",233.4,16,0,12,49,15,2
20 minute mexican rice,"spice up a meal with mexican rice, done in a jiffy!! from the local newspaper.","['rice', 'vegetable oil', 'onion', 'garlic', 'beef broth', 'ground cumin', 'tomato paste', 'frozen green pea', 'carrot']",246.8,6,11,13,11,2,15
20 minute posole,from the ,"['olive oil', 'onion', 'garlic', 'dried oregano', 'ground cumin', 'chicken broth', 'white hominy', 'green chili peppers', 'black olives', 'boneless skinless chicken']",196.6,9,18,30,34,5,5
20 minute spanish rice,"i wanted a quick spanish rice side dish one night, to go along side a spicy chicken i was making, so i came up with this simple yummy dish.","['chicken stock', 'long grain rice', 'taco seasoning', 'salsa', 'corn kernel', 'black beans']",260.9,3,10,12,17,2,17
20 minute applesauce cookies,"these satisfying sugar-free treats are so packed with dried cherries and rolled oats that they taste more like delicious granola bars. as an added bonus, you can whip them up in less than half an hour. from shape magazine,recipe of tiffany tse.","['bananas', 'rolled oats', 'applesauce', 'vanilla extract', 'ground flax seeds', 'dried cherries']",29,0,5,0,1,0,1
21st street pan bagna rolls,these are the base for one of our favorite portable sandwiches,"['yeast', 'warm water', 'sugar', 'oil', 'salt', 'flour']",272.2,11,4,24,13,5,14
25 minute chicken noodle soup,"this is something that i just came up with one day when i didn't have the time to make my usual chicken noodle soup. it normally takes me all day, and i just wasn't going to be able find the time to watch it. i was desperately craving it however, so i decided to do some improvising.","['low sodium chicken broth', 'chicken breasts', 'new potatoes', 'carrots', 'creamed corn', 'dried parsley', 'black pepper', 'salt', 'egg noodles']",299.4,9,13,23,37,9,14
2bleu s creamy garlic spread,this is a great condiment perfect for roast beef or warm grilled chicken... at the table or on a sandwich!  this keeps about a month in your fridge. :),"['bulb of garlic', 'olive oil', 'kosher salt', 'black pepper', 'mayonnaise', 'prepared horseradish']",67.8,8,3,6,0,4,1
2bleu s mushroom and swiss  on crostini toast appetizers,"i created this one for my btg buddha. he is definitely a guy's guy, and loves swiss, mushrooms, and sports. (btg = big tough guy) :) to use the best herbs for this recipe, try recipe #280966","['crusty italian bread', 'garlic cloves', 'shallots', 'olive oil', 'red bell peppers', 'fresh mushrooms', 'herbs', 'swiss cheese']",204.8,13,4,10,18,20,7
2bleu s pumpkin ginger crumble,"why wait til the holidays? indulge! serve warm with ice cream or chilled with whipped cream. this is a little something bird created. :) note: we love sam's idea of a cream cheese layer in there also, suggest 8 oz cream cheese whipped with 2 tbsp sugar, and put on before the pumpkin layer. :)","['gingerbread cake mix', 'pecans', 'butter', 'egg', 'canned pumpkin', 'fat-free sweetened condensed milk', 'pumpkin pie spice', 'whipped cream']",124.6,18,6,5,3,19,1
3   potato grill packet,"i came across this recipe while i was shopping with my mother, we plan on making this for our 4th of july dinner.","['sweet potato', 'yellow potatoes', 'white potato', 'red potatoes', 'onion', 'fresh parsley', 'dried basil leaves', 'garlic pepper seasoning', 'olive oil', 'butter']",137.8,5,8,2,5,8,7
3 alarm chili,"i was in the mood for chili but i couldn't find a good recipe that i liked. so i took some ideas and created this. =) of course you can use half a jalepeno, or a chili, or use no pepper for a mild chili- but the jalepeno gives it a nice kick! add more or less seasonings depending on taste 9 i can't really remember the exact measurements)","['ground turkey breast', 'garlic cloves', 'yellow onion', 'jalapeno', 'plum tomatoes', 'reduced-sodium fat-free chicken broth', 'red pepper paste', 'bay leaves', 'cumin', 'cinnamon', 'chili', 'salt', 'pepper', 'canola oil']",185.8,7,9,27,58,3,1
3 cheese  pepper  bread   bread machine,"this bread is made with habanero cheddar cheese, pepper jack can be used. the cream cheese gives the bread a nice texture.
 but it's not really all that hot, just a hint of heat!
 this is great for spinach dip.
 any left over bread be great for grilled cheese, monte cristo's, or a savory bread pudding!","['cream cheese', 'egg', 'buttermilk', 'bread flour', 'salt', 'fast rising yeast', 'sugar', 'habanero pepper cheese', 'fresh chives', 'chili pepper flakes', 'parmesan-romano cheese mix']",122.7,3,5,6,7,7,6
3 cheese bean dip,cheesy spicy good! serve with chips or veggies.,"['fresh tomatoes', 'sun-dried tomatoes packed in oil', 'no-salt-added black beans', 'cayenne pepper', 'garlic cloves', 'cumin', 'shallot', 'smoked gouda cheese', 'mozzarella cheese', 'cream cheese', 'chipotle chile in adobo']",116.6,9,3,4,13,18,3
3 cheese potato casserole,"another,hearty vegetarian meal! 8)","['potatoes', 'cream-style cottage cheese', 'sour cream', 'green onion', 'fresh parsley', 'garlic', 'salt', 'cheddar cheese', 'paprika']",230.6,19,13,17,19,36,6
3 cheese toasted sandwiches,"the mixture of melted cottage cheese, cheddar cheese and parmesan cheese is irresistible paired in crisp toasted bread.  delicious. from better homes and gardens new dieter's cookbook","['whole wheat bread', 'low fat cottage cheese', 'low-fat cheddar cheese', 'parmesan cheese', 'celery', 'green onion']",254.4,9,14,32,43,14,9
3 ingredient chili  or salsa,"our friend's mom made this for us at a halloween party back when we used to be vegetarians.  serve it hot as a chili and garnish with cheese, diced onions, sour cream, etc. with tortilla chips, or serve cold as a quick salsa. so easy and tasty, too.","['rotel tomatoes & chilies', 'black beans', 'corn', 'tortilla chips']",237.4,2,13,24,22,1,16
3 ingredient fabulous salsa    delicious  fresh and so easy,"born and raised in texas, i am a snob when it comes to mexican food. i have tried so many recipes for the perfect salsa and always come back to this one. it's absolutely delicious, fresh, amazingly healthy...and only 3 ingredients. trust me, simple is the way to go with fresh salsa.","['tomatoes', 'garlic', 'jalapenos']",38.1,0,13,0,3,0,2
3 ingredient individual quinoa pizza crust  no soaking,"i have been wanting to try a quinoa based pizza crust for quite some time, but all the recipes i have come across require soaking the quinoa for hours on end. i wanted something quick and pizza like. this crust is crispy yet moist in the middle, just like a pizza crust should be, and it is super easy! hello, only three ingredients! so, enjoy! (the cooking time shown includes time for preparing the quinoa)","['quinoa', 'water', 'whole wheat flour', 'coconut oil']",297.2,12,0,0,19,21,16
3 ingredient melt in your mouth shortbread cookies,"this is my favourite shortbread cookie, and i always have the ingredients on hand. so simple to make and so delicious, it produces a very delicate shortbread that is sure to please.","['butter', 'flour', 'icing sugar']",84.8,9,7,2,1,19,2
3 ingredient onion soup chicken,this is fast and easy...isn't that what we all want?,"['skinless chicken pieces', 'onion soup mix', 'soft breadcrumbs', 'fresh black pepper']",178.3,5,3,41,45,4,4
3 layered mexican dip,this recipe is really good and simple. i make it for all kinds of parties and it's always all gone by the time we go home.,"['refried beans', 'hormel chili', 'sour cream', 'cheddar cheese', 'jalapeno pepper']",183.5,15,4,18,18,30,4
3 minute bread pudding in a mug,"found this recipe on budget101.com. it sounds like a quick and 
inexpensive dessert. from their site: delicately sweet with a hint of cinnamon and raisins, this simple bread pudding in a mug is a perfect single serving and takes only 3 minutes to prepare. it makes a lovely dessert, breakfast, or comfort dish any time. if you happen to have a couple heels left over in a package of bread, this recipe   is a perfect way to use them up.","['cinnamon raisin bread', 'egg', 'milk', 'brown sugar']",292.1,17,12,12,28,24,11
3 minute hollandaise,when i was first married a neighbor gave me this recipe for my first dinner party. i was afraid to tackle a "real" hollandaise sauce and this was perfect. i still use it today.,"['mayonnaise', 'sour cream', 'prepared mustard', 'lemon juice']",88.8,12,4,4,1,13,1
3 pack pot roast,this is a recipe i found and tweaked a bit.  my house smelled great while i was cooking it!,"['beef roast', 'brown gravy mix', 'italian salad dressing mix', 'ranch dressing mix', 'water', 'baby carrots', 'russet potatoes']",118.1,0,14,11,5,0,8
3 packet roast,a wonderful roast with a very tasty gravy,"['italian salad dressing mix', 'ranch dressing mix', 'brown gravy mix', 'roast', 'water', 'onion soup mix']",296.7,15,0,18,95,19,1
3 pepper cheese spread,this recipe comes from the kraft holiday cookbook.,"['cream cheese', 'monterey jack and cheddar cheese blend', 'jalapeno peppers', 'crushed red pepper flakes', 'hot pepper sauce', 'ritz cracker']",88.5,12,2,4,6,23,0
3 spice fuss free fish fillet curry,a real no fuss fish curry that comes your way it is cooked generally in my house for years !,"['fish fillets', 'onion', 'garlic', 'tomatoes', 'salt', 'red chili powder', 'turmeric powder', 'canola oil']",109.3,13,11,24,2,3,2
3 in 1 italian dip,"great idea here!  i found this in the kraft food and family holiday edition.  very simple and if some don't like the taste of an ingredient, they don't have to eat it because the 'dip' is sectioned off into 3 sections.","['cream cheese', 'mozzarella cheese', 'mayonnaise', 'garlic clove', 'sun-dried tomato packed in oil', 'marinated artichoke hearts', 'roasted red pepper']",83.7,10,1,8,6,17,0
3 layer mexican party dip,"served at room temperature or hot, this delicious dip lacks only tortilla chips! from parade magazine.","['refried beans', 'guacamole', 'sour cream', 'garlic powder', 'ground cumin', 'chili powder', 'salt and pepper', 'sharp cheddar cheese', 'plum tomato', 'pitted black olives', 'scallions']",183.2,19,2,11,12,37,3
3 step biscuits or how to break up with your girlfriend biscuits,a light-as-air biscuit with a new twist on texture and flavor. this one is from southern living magazine (april 1998).,"['self-rising flour', 'sour cream', 'water']",134.7,7,3,14,5,13,6
30 minute baked potato,"cut the time, but not the lovely oven cooked texture.","['potato', 'olive oil']",164,0,6,0,8,0,12
30 minute seasoned sweet potato   yam fries  baked not fried,perfectly zesty sweet potato fries to accompany veggie burgers and a ton of other dishes-- you'll love them even if you're not as big a fan of sweet potatoes!,"['sweet potatoes', 'olive oil', 'paprika', 'cinnamon', 'kosher salt', 'white pepper']",118.1,10,11,6,2,4,4
30 second nut milk  raw food,"this gem of a recipe was found in the 2005 cookbook, raw food -- real world. note: for those who might be concerned about whether or not agave nectar is a raw food, here is a quote from the internet = ""to make the agave nectar, sap is extracted from the pina, filtered, and heated at a low temperature, which breaks down the carbohydrates into sugars. lighter and darker varieties of agave nectar are made from the same plants. because of the low temperatures used in processing many varieties (under 118掳f) raw foods enthusiasts generally regard agave nectar as a raw food.""","['almond butter', 'bottled water', 'sea salt', 'agave nectar', 'vanilla extract', 'coconut butter']",101.3,13,3,13,6,3,1
35 calorie pumpkin cookies,these cookies are absolutely delicious and practically guilt free! only about 35 calories per cookie! they are so tasty and soft you would never guess how healthy they really are. great dessert or snack for the fall and winter seasons. i have a few in my fridge all year long to keep me from snacking on more "sinful" temptations...,"['canned pumpkin', 'egg', 'plain yogurt', 'honey', 'vanilla extract', 'all-purpose flour', 'splenda granular', 'baking soda', 'baking powder', 'cinnamon', 'ginger', 'nutmeg', 'salt']",61.1,0,13,4,3,1,4
36 hour freedom salsa,"using this recipe, you will be able to conquer the world.  me?  i'm too lazy...  just remember me when you get to the top.","['firm ripe tomatoes', 'salt', 'chili powder', 'garlic clove', 'lime', 'yellow onion', 'green bell pepper', 'yellow bell pepper', 'red bell pepper', 'jalapeno peppers', 'habanero pepper']",22.1,0,8,48,1,0,1
